"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"VI220406.010","Viruses",NA,2022-04-06,"PE477",4,7,"0.22",6,3,30277.7777777778,3132.18390804598,27145.5938697318,2513333.33333333,1699360.50330119,771749.455563621,42223.3744685264,83.0091743119266,0.115384615384615
"VI220406.011","Viruses",NA,2022-04-06,"PE477",4,7,"0.22",9,1,15000,1721.31147540984,13278.6885245902,2893888.88888889,1913493.04357477,910761.726040942,69634.1192731822,192.925925925926,0.12962962962963
"VI220406.012","Viruses",NA,2022-04-06,"PE477",4,7,"0.22",9,2,4444.44444444444,1545.89371980676,2898.55072463768,2656944.44444444,1841293.8812336,771978.346456693,43672.2167541557,597.8125,0.533333333333333
"VI220406.013","Viruses",NA,2022-04-06,"PE477",4,7,"0.22",9,3,15555.5555555556,3209.87654320988,12345.6790123457,2793055.55555556,1880919.66614502,845522.170057381,66613.719353156,179.553571428571,0.26
"VI220406.014","Viruses",NA,2022-04-06,"PE477",4,7,"0.22",12,1,25555.5555555556,3355.78002244669,22199.7755331089,2571388.88888889,1707734.21640276,811715.331348401,51939.3411377273,100.619565217391,0.151162790697674
"VI220406.015","Viruses",NA,2022-04-06,"PE477",4,7,"0.22",12,2,11666.6666666667,1428.57142857143,10238.0952380952,2984444.44444444,1935059.13709812,978057.637847743,71327.669498584,255.809523809524,0.13953488372093
"VI220406.016","Viruses",NA,2022-04-06,"PE477",4,7,"0.22",12,3,16388.8888888889,1738.21548821549,14650.6734006734,2570555.55555556,1671161.25720603,842758.035220722,56636.2631288004,156.847457627119,0.11864406779661
"vi201214.076","Viruses",2020-09-19,2020-12-14,"PE477",4,7,"0.22",24,1,192063.144047358,107648.294445898,84414.8496014599,3306774.83008113,2666228.22728679,582132.763870233,58413.8389241018,17.2171232876712,1.27522935779817
"vi201214.077","Viruses",2020-09-19,2020-12-14,"PE477",4,7,"0.22",24,2,119710.589782942,67129.8190040807,52580.7707788617,2282525.76189432,1931934.5186992,322357.354562466,28233.8886326608,19.067032967033,1.27669902912621
"vi201214.078","Viruses",2020-09-19,2020-12-14,"PE477",4,7,"0.22",24,3,199166.849375137,98937.61778298,100229.231592157,2951326.46349485,2274009.62919166,618983.327042631,58333.5072605621,14.8183619550859,0.987113402061856
"VI210624.138","Viruses",2020-09-20,2021-06-24,"PE477",5,7,"0.22",0,1,73717.9487179487,7496.74054758801,66221.2081703607,48945512.8205128,37604819.0166187,10221563.0467338,1119130.75716035,663.95652173913,0.113207547169811
"VI210624.139","Viruses",2020-09-20,2021-06-24,"PE477",5,7,"0.22",0,2,67307.6923076923,1246.43874643875,66061.2535612536,47907051.2820513,36184682.3458165,10557979.0181462,1164389.91808853,711.761904761905,0.0188679245283019
"VI210624.140","Viruses",2020-09-20,2021-06-24,"PE477",5,7,"0.22",0,3,60897.4358974359,6214.02407116693,54683.411826269,48513461.5384615,37110741.080837,10274853.680566,1127866.77705856,796.642105263158,0.113636363636364
"VI210624.141","Viruses",2020-09-20,2021-06-24,"PE477",5,7,"0.22",24,1,76282.0512820513,15006.3051702396,61275.7461118117,41613461.5384615,31253992.2103213,9362807.78687663,996661.541263581,545.521008403361,0.244897959183673
"VI210624.142","Viruses",2020-09-20,2021-06-24,"PE477",5,7,"0.22",24,2,42948.7179487179,4908.42490842491,38040.293040293,41136538.4615385,30633592.4713584,9493824.5560586,1009121.43412143,957.805970149254,0.129032258064516
"VI210624.143","Viruses",2020-09-20,2021-06-24,"PE477",5,7,"0.22",24,3,33974.358974359,7280.21978021978,26694.1391941392,42982692.3076923,32077466.0008187,9886613.21111043,1018613.09576314,1265.15094339623,0.272727272727273
"VI210624.102","Viruses",2020-09-21,2021-06-24,"PE477",6,7,"0.22",0,1,4102.5641025641,781.440781440781,3321.12332112332,11178717.9487179,8105574.84976168,2883022.75569861,190120.343257661,2724.8125,0.235294117647059
"VI210624.103","Viruses",2020-09-21,2021-06-24,"PE477",6,7,"0.22",0,2,7692.30769230769,439.56043956044,7252.74725274725,9532051.28205128,6724233.57312664,2635670.37193765,172147.336986999,1239.16666666667,0.0606060606060606
"VI210624.104","Viruses",2020-09-21,2021-06-24,"PE477",6,7,"0.22",0,3,4102.5641025641,195.360195360195,3907.20390720391,10862051.2820513,7755062.47780299,2932743.6114876,174245.192760693,2647.625,0.05
"VI210624.105","Viruses",2020-09-21,2021-06-24,"PE477",6,7,"0.22",24,1,3333.33333333333,370.37037037037,2962.96296296296,9892307.69230769,6862964.33331344,2868436.67323109,160906.685763164,2967.69230769231,0.125
"VI210624.106","Viruses",2020-09-21,2021-06-24,"PE477",6,7,"0.22",24,2,7179.48717948718,435.120435120435,6744.36674436675,9833333.33333333,6681243.49635796,2970720.60353798,181369.233437392,1369.64285714286,0.064516129032258
"VI210624.107","Viruses",2020-09-21,2021-06-24,"PE477",6,7,"0.22",24,3,6410.25641025641,641.025641025641,5769.23076923077,9778461.53846154,6746642.19681329,2858382.49439568,173436.847252575,1525.44,0.111111111111111
"VI210503.060","Viruses",2021-04-15,2021-05-03,"PE486",1,7,"0.22",0,1,30281.6901408451,3273.69623144271,27007.9939094024,18921126.7605634,14642453.3461811,3913938.38990765,364735.02447462,624.837209302326,0.121212121212121
"VI210503.061","Viruses",2021-04-15,2021-05-03,"PE486",1,7,"0.22",0,2,19014.0845070423,3933.9485186984,15080.1359883439,19216901.4084507,14826856.3022234,3962589.85246099,427455.253766312,1010.66666666667,0.260869565217391
"VI210503.062","Viruses",2021-04-15,2021-05-03,"PE486",1,7,"0.22",0,3,7746.47887323944,737.75989268947,7008.71898054997,18511267.6056338,14234138.224697,3926110.71077629,351018.670160498,2389.63636363636,0.105263157894737
"BA220413.055","Viruses",NA,2022-04-13,"PE486",1,7,"0.22",3,1,10046.7932837875,772.830252599039,9273.96303118846,5975089.45774842,4479079.13348093,1351201.1587717,144809.165495798,594.72602739726,0.0833333333333333
"BA220413.056","Viruses",NA,2022-04-13,"PE486",1,7,"0.22",3,2,13625.1032204789,786.063647335324,12839.0395731436,5990503.71593724,4448771.88047296,1409282.45660203,132449.378862261,439.666666666667,0.0612244897959184
"BA220413.057","Viruses",NA,2022-04-13,"PE486",1,7,"0.22",3,3,2614.9187998899,0,2614.9187998899,6050784.47563997,4504434.83603848,1402778.84682759,143570.792773903,2313.94736842105,0
"BA220413.058","Viruses",NA,2022-04-13,"PE486",1,7,"0.22",6,1,5642.71951555189,490.671262221903,5152.04825332998,5741123.0388109,4234617.0299085,1376671.05279672,129834.956105685,1017.43902439024,0.0952380952380952
"BA220413.059","Viruses",NA,2022-04-13,"PE486",1,7,"0.22",6,2,2614.9187998899,217.909899990825,2397.00889989907,5558629.23203964,4036245.57805437,1382505.96262617,139877.691359101,2125.73684210526,0.0909090909090909
"BA220413.060","Viruses",NA,2022-04-13,"PE486",1,7,"0.22",6,3,4266.44646297826,474.049606997584,3792.39685598067,6121524.91054225,4454222.46569207,1529985.8824463,137316.56240388,1434.8064516129,0.125
"BA220413.061","Viruses",NA,2022-04-13,"PE486",1,7,"0.22",9,1,12248.8301679053,521.226815655545,11727.6033522498,5150701.89925681,3802822.90587294,1243813.84510709,104065.148276776,420.505617977528,0.0444444444444444
"BA220413.062","Viruses",NA,2022-04-13,"PE486",1,7,"0.22",9,2,3440.68263143408,0,3440.68263143408,5234929.81007432,3784693.31882554,1318349.23184976,131887.259399023,1521.48,0
"BA220413.063","Viruses",NA,2022-04-13,"PE486",1,7,"0.22",9,3,11147.8117258464,1037.0057419392,10110.8059839072,5678089.73300303,4170762.46545867,1381497.75183266,125829.515711703,509.345679012346,0.102564102564103
