"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"VI210623.010","Viruses",2020-09-19,2021-06-23,"PE477",4,1,"VPC",3,1,182058.823529412,99590.1714917942,82468.6520376175,2020294.11764706,1328108.96003971,620011.499958633,72173.6576487135,11.0969305331179,1.20761245674741
"vi201214.040","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",3,2,225476.869107652,93916.3551188498,131560.513988802,2705788.20434115,2153091.85951749,524417.68305105,28278.6617726132,12.0002917152859,0.713864306784661
"VI210623.011","Viruses",2020-09-19,2021-06-23,"PE477",4,1,"VPC",3,2,180000,93565.7686212361,86434.2313787639,1962647.05882353,1295846.662356,605769.283125457,61031.1133420681,10.9035947712418,1.08250825082508
"vi201214.041","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",3,3,206402.104801579,86926.5435115534,119475.561290025,2126704.6700285,1679161.39380384,426065.194887984,21478.0813366744,10.3036966220523,0.727567567567568
"VI210623.012","Viruses",2020-09-19,2021-06-23,"PE477",4,1,"VPC",3,3,178235.294117647,101522.823529412,76712.4705882353,1919705.88235294,1309586.59261577,551972.170073703,58147.1196634682,10.7706270627063,1.32342007434944
"vi201214.050","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",6,1,227318.570488928,117878.358824967,109440.211663961,3889147.11686034,2952194.4623547,863891.006265084,73061.6482405583,17.1087962962963,1.07710280373832
"vi201214.056","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",6,1,211401.008550757,88342.8234262353,123058.185124521,2767945.62595922,2190014.50107006,548205.307648727,29725.817240436,13.0933416303671,0.717894736842105
"VI210623.013","Viruses",2020-09-19,2021-06-23,"PE477",4,1,"VPC",6,1,182647.058823529,93035.8455882353,89611.2132352941,2176470.58823529,1441010.95483344,668521.982801758,66937.6506000908,11.9162640901771,1.03821656050955
"vi201214.051","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",6,2,227581.670686253,119672.159417041,107909.511269212,3794694.14602061,2789268.81684218,929420.711052799,76004.6181256283,16.6739884393064,1.10900473933649
"vi201214.057","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",6,2,204165.753124315,86870.7801816204,117294.972942695,2563385.22253892,2003006.63484025,525887.877440585,34490.7102580829,12.555412371134,0.740618101545254
"VI210623.014","Viruses",2020-09-19,2021-06-23,"PE477",4,1,"VPC",6,2,180000,93280.5071315372,86719.4928684628,2211764.70588235,1441166.61740073,693367.288933355,77230.7995482692,12.2875816993464,1.07565789473684
"vi201214.052","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",6,3,-4472.70335452752,-1677.26375794782,-2795.4395965797,34992.3262442447,34015.3831257506,843.723602335849,133.219516158292,-7.82352941176471,0.6
"vi201214.058","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",6,3,208375.356281517,88841.2022430832,119534.154038434,2845165.53387415,2219773.04700454,592833.26184884,32559.2250207741,13.6540404040404,0.743228602383532
"VI210623.015","Viruses",2020-09-19,2021-06-23,"PE477",4,1,"VPC",6,3,157647.058823529,78681.5050344462,78965.5537890832,2485000,1639127.73302647,763801.495972382,82070.7710011507,15.7630597014925,0.996402877697842
"vi201214.053","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",9,1,415435.211576409,186479.646094149,228955.56548226,5384871.7386538,4203983.28616614,1122251.93606448,58636.5164231784,12.9620012666244,0.81447963800905
"vi201214.059","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",9,1,195614.996711248,82670.6236101107,112944.373101137,2579302.78447709,2171950.65189755,392967.510397827,14384.6221817151,13.1856086079354,0.731958762886598
"VI210623.031","Viruses",2020-09-19,2021-06-23,"PE477",4,1,"VPC",9,1,197205.882352941,106099.07120743,91106.8111455108,2713676.47058824,1804301.6433006,814187.929478086,95186.8978095466,13.7606263982103,1.16455696202532
"vi201214.054","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",9,2,223898.267923701,107348.484620953,116549.783302749,3109318.1319886,2322328.84771954,725914.727840199,61074.5564288629,13.8871915393655,0.921052631578948
"vi201214.060","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",9,2,208112.256084192,90134.4929897933,117977.763094399,2545494.40912081,2049883.27572788,469653.579808293,25957.5535846361,12.2313527180784,0.763995609220637
"VI210623.032","Viruses",2020-09-19,2021-06-23,"PE477",4,1,"VPC",9,2,188088.235294118,101101.02693451,86987.2083596072,2714558.82352941,1747946.97778924,863774.770709787,102837.075030388,14.4323690383112,1.16225165562914
